n,delta,kappa,cp_gap,risk_gap,nc,n_group
30,0,0.5093021046281061,-0.17445333037156008,-0.019803035421253057,10,30
30,1,4.589843418115457,-2.167143899121241,1.1624351290336126,10,30
30,0,7.134241895938475,2.6318547004253547,4.121414592516702,10,30
30,0,13.191630876906478,2.51868153305952,1.631766589803926,10,30
30,0,5.151275385071955,2.8198317417407686,1.4888874339297193,10,30
30,0,5.85253621818178,2.303027102624858,1.3342664939951645,10,30
30,0,4.935128199267977,2.017184216908171,2.2719649705974136,10,30
30,0,0.8458794965698521,0.4866100750281803,1.6834435539917436,10,30
30,0,6.8432601024913895,2.532398450843878,2.615708562485059,10,30
30,0,9.34635526539183,5.316632298162874,3.842238696084995,10,30
30,0,7.664452362101608,4.028954154774789,0.40089303481166283,10,30
30,0,10.358570837818835,7.285318145643167,3.9007648082271578,10,30
30,0,7.034051723521843,3.3859121976714732,7.766650868912034,10,30
30,0,1.3091033277205948,0.9002818778778341,4.431475999086945,10,30
30,0,6.415254559343506,2.634250644059675,1.4619628752069953,10,30
30,0,6.285580114511084,1.8072208614521124,2.469358082132216,10,30
30,0,6.733249303127801,2.8896285777704183,4.258775333201254,10,30
30,0,3.904590984185545,1.904139337451665,2.8892125737606804,10,30
30,1,0.9202820040388361,-0.47546809667483547,0.14054476909878932,10,30
30,0,7.968184961922181,3.992470434710599,3.8383590249951056,10,30
30,0,7.4449009443731295,3.859182786196444,6.255416534062838,10,30
30,0,5.701412966710458,3.3835404082491642,1.915043497214158,10,30
30,0,6.180101998986657,2.949149332507359,4.626925929870013,10,30
30,0,0.05987624015276538,0.009117918148630277,0.5324718374408363,10,30
30,0,3.378514153811456,1.7277283047123833,2.56926514979559,10,30
30,0,0.18410136820599363,0.07205690550517918,0.5134472833484622,10,30
30,0,13.971885922571674,6.441516527743284,1.185067247038445,10,30
30,0,8.908460372269897,3.015456616687083,4.002652217000447,10,30
30,0,1.708151819441178,1.308781179859091,1.102843321021325,10,30
30,0,2.994548025227159,1.5489992791388767,5.0113192191265234,10,30
30,0,3.1722597206610827,1.2708589392921885,3.9456948949916173,10,30
30,0,2.7280892329819917,1.23798945356902,1.8915952243903777,10,30
30,0,12.673041507560699,3.9345269909027225,5.552156301939528,10,30
30,0,4.005062973723397,1.8841402200716297,3.4555514704017747,10,30
30,0,10.576273221548213,2.345094280877544,2.7463237414705994,10,30
30,0,6.094795931068837,2.803177461489688,1.5310911048858484,10,30
30,1,1.9284822242483337,1.4797231699389357,-1.9362353689999363,10,30
30,0,3.899398157680218,2.493714530079545,0.4331379735835532,10,30
30,1,5.213851782646705,-2.4062499136930438,3.6027663631710665,10,30
30,0,3.580187590419842,1.6720326384460646,2.3847962933024762,10,30
30,0,13.280835393546294,6.181798831926736,1.594555523777124,10,30
30,1,4.5734320811865095,-1.5659907095527168,1.2674263494417324,10,30
30,0,3.982690716952846,1.8267398413398572,2.05792858548711,10,30
30,0,8.105605796844994,4.587846613249013,2.5065008020066415,10,30
30,0,7.811817731816127,4.216231705439106,3.7418054102985354,10,30
30,0,3.8913387285379297,1.8054189084418608,0.2530304874431457,10,30
30,0,3.5494675904016497,1.350222515113801,1.0344915869649451,10,30
30,0,3.274487710215542,1.4184731683901202,0.830519250089754,10,30
30,0,7.097380540001866,2.464080313064951,6.252800138028645,10,30
30,1,5.097506829996818,2.179173908716682,-0.2252385955851759,10,30
30,1,8.703315804096981,4.396816952426767,-0.2947007191137765,10,30
30,0,4.861099561076958,3.0575808191894778,2.7352934598940344,10,30
30,0,0.7372153050219084,0.41323446223711535,2.384161150850585,10,30
30,0,6.554980713353568,2.5678032401333617,5.355569189980475,10,30
30,0,3.5288543796993777,2.000781112413156,4.077311917700032,10,30
30,0,0.0762785121431819,0.02133731744889955,1.6099971219865914,10,30
30,0,2.3205636834379955,0.723632604783393,2.427519388119095,10,30
30,0,4.336045868728929,1.7906359391838098,2.7625551299836286,10,30
30,0,2.5638244256224856,0.8537499507263369,2.970717774495718,10,30
30,0,5.753435356763831,2.0941554628793644,3.46411568156386,10,30
30,0,1.4431952552602147,0.6327202310102678,2.0216069890710817,10,30
30,0,7.260924555984379,3.1935862347660473,2.533688960507177,10,30
30,0,1.5267978306153456,0.9529878539782746,3.0169480623407328,10,30
30,0,4.901159531034196,2.2210137390322044,3.5794457758069105,10,30
30,0,7.884539492733281,1.8159358918579276,3.2030285140077934,10,30
