rho,n,p,delta,cp_ols,cp_ridge,risk_ols,risk_ridge
0.0,300.0,50.0,1.0,3.6016965911022885,3.6305431037345413,1.5937613957607701,1.5739942330161198
0.0,300.0,50.0,1.0,3.7518515931236927,3.78890252663181,1.4107559846345874,1.4100218927678563
0.0,300.0,50.0,0.0,4.483609592511375,4.415226246797823,1.519730704072345,1.5025642485480668
0.0,300.0,50.0,0.0,3.882809191193025,3.865243755536052,1.830833453025396,1.8149276315101035
0.0,300.0,50.0,1.0,3.639375797052207,3.6650328467576094,1.4815491488633818,1.473223610821227
0.0,300.0,50.0,0.0,4.506334407176425,4.458645901224374,1.727855178847289,1.6971921161488417
0.0,300.0,50.0,1.0,3.818292157176284,3.8232268923979493,1.3632275929155073,1.3479226142283782
0.0,300.0,50.0,0.0,4.516164753096429,4.514588856687166,2.0605084041365305,2.026753778032811
0.0,300.0,50.0,0.0,4.505036262706862,4.4358581475033905,1.2993836752322778,1.2934900054326957
0.0,300.0,50.0,0.0,4.4821871032157405,4.430284177900038,1.6074474044029592,1.5946827126648309
0.0,300.0,50.0,0.0,3.728093100639122,3.703365443663823,1.3790669212797768,1.3612387058200979
0.0,300.0,50.0,1.0,3.5898801206254647,3.578777084933597,1.4591900277301164,1.468209858962295
0.0,300.0,50.0,0.0,4.132439852925797,4.17005928250668,1.651510692185261,1.654225724918205
0.0,300.0,50.0,0.0,4.031864998781309,4.026602247531155,1.7519613237737235,1.7146154303319034
0.0,300.0,50.0,0.0,3.3585352570564355,3.3008416919629644,1.4520374766026454,1.4397121833417952
0.0,300.0,50.0,0.0,3.7996794227399984,3.7891443964944123,1.3119137361950277,1.2993026594761319
0.0,300.0,50.0,0.0,5.169810439785642,5.161304390975295,1.4300431893946262,1.4236343923900827
0.0,300.0,50.0,0.0,3.426646062785387,3.4182126250789424,1.7814291092382053,1.7690094053601877
0.0,300.0,50.0,0.0,4.556887159075156,4.5036479368186715,1.434812174281574,1.4189822488063673
0.0,300.0,50.0,0.0,4.4798311255685626,4.384570379270896,1.8254815106531472,1.793565140813611
0.0,300.0,50.0,1.0,3.427176596704294,3.4429911049904214,1.7528458517957124,1.7477332599136237
0.0,300.0,50.0,0.0,4.348640333008154,4.316972642568152,1.4329620246321328,1.420117245065105
0.0,300.0,50.0,0.0,3.2808482387459263,3.2609553096937556,1.6303236286911524,1.6271636319582075
0.0,300.0,50.0,1.0,4.166946249970617,4.213662718492312,1.2593732183205704,1.2480994747673642
0.0,300.0,50.0,1.0,4.193228651689295,4.2293990440921405,1.1534760948257712,1.1438380566031061
0.0,300.0,50.0,1.0,4.017616044331593,4.030044512398334,1.8259103050219505,1.809921858596742
0.0,300.0,50.0,0.0,3.678923735068659,3.6923360355783617,1.700154372510319,1.7029829425916658
0.0,300.0,50.0,1.0,3.5861490944534102,3.5963667058009126,1.5645495061142423,1.5515506969722443
