n,delta,kappa,cp_gap,risk_gap,nc,cp_ols,cp_ridge,risk_ols,risk_ridge
50.0,0.0,4.492113513034501,0.4817473688139229,0.33955180885580116,12.0,7.78392313315409,7.302175764340167,5.914648522283077,5.575096713427276
50.0,1.0,10.186275478126934,2.4260738850465895,-0.7272379926158448,12.0,7.139231508775568,4.7131576237289785,2.9229424958619035,3.6501804884777482
50.0,1.0,3.143804769068899,0.47812971895790835,-0.43196967207186265,12.0,4.805129648530927,4.326999929573018,2.8753265976883307,3.3072962697601933
50.0,1.0,3.768933149663011,0.503320719354063,-0.02439361812892038,12.0,4.5448507789289465,4.0415300595748835,2.015142319981898,2.0395359381108182
50.0,0.0,5.818605722272984,1.088658376825999,0.0023614802167011284,12.0,4.857495868280148,3.7688374914541494,3.289402551826399,3.287041071609698
50.0,1.0,7.264739571521086,-1.2826493083428163,0.14343279988172686,12.0,5.278290110407387,6.560939418750204,2.506138394307272,2.3627055944255453
50.0,1.0,7.21261966257227,0.9070595607938263,-0.8948205758946077,12.0,4.102906682580692,3.195847121786866,2.1418680071043563,3.036688582998964
50.0,0.0,3.903959813134691,0.7973707334088855,0.6954478544260678,12.0,6.502703024622417,5.705332291213532,3.0639369575399193,2.3684891031138515
50.0,0.0,1.6867285649495394,0.3640489331741019,0.6321870193478367,12.0,4.776666706510562,4.41261777333646,3.3635673755470332,2.7313803561991965
50.0,1.0,0.07841668776655292,-0.008025826027380667,0.33878786936040406,12.0,7.017848519025492,7.0258743450528724,2.971483292291324,2.63269542293092
50.0,0.0,1.6516859182148682,0.26440428776627556,1.0089571231522942,12.0,3.7890360744317193,3.5246317866654437,5.426829754660518,4.4178726315082235
50.0,0.0,2.204207535077335,0.6158630077314347,0.3219343254732099,12.0,4.600223571555563,3.984360563824128,4.758075439356997,4.436141113883787
50.0,1.0,7.831320812145438,0.5212579306609673,-0.12122435097729545,12.0,6.918122631514848,6.396864700853881,2.383645378072926,2.5048697290502213
50.0,1.0,3.0107741028440076,-0.3359024608673007,0.40174059344309576,12.0,6.841028548433244,7.176931009300545,5.564942123004472,5.163201529561376
50.0,0.0,6.624058298845717,0.6463124759677896,0.231898821046578,12.0,6.597362319723591,5.9510498437558015,3.4500534286018443,3.2181546075552663
50.0,0.0,6.854823935750567,2.0831691919273556,1.4650257775803648,12.0,7.993789203329164,5.910620011401808,4.1140680847077284,2.6490423071273637
50.0,0.0,0.01086514277619671,0.0016432165306019542,0.0034997159321168425,12.0,5.656457065497691,5.654813848967089,5.164320410363225,5.160820694431108
50.0,1.0,5.410960141733306,0.9149298843637084,-0.1466906452514034,12.0,4.443247837154883,3.5283179527911743,3.526087386048779,3.6727780313001825
50.0,1.0,0.20454780594684643,-0.047296376973440246,0.08169132398810985,12.0,5.312375680875816,5.359672057849256,2.3570381899051327,2.275346865917023
50.0,1.0,0.513222689131724,-0.083506466391432,0.1819942372209682,12.0,4.034519296636958,4.11802576302839,2.8428762998377017,2.6608820626167335
50.0,1.0,6.611064392351841,1.40011138843037,-0.8285516996342273,12.0,4.320415387869813,2.9203039994394433,0.4194632890401753,1.2480149886744025
50.0,0.0,11.968001520057737,2.2325481562160236,1.1860086572367239,12.0,7.342004160237797,5.109456004021773,5.0215589280444215,3.8355502708076976
50.0,1.0,5.224778444001324,1.2942687386685012,-0.4455367194161588,12.0,5.900818133522937,4.606549394854436,2.3055512723810048,2.7510879917971636
50.0,1.0,0.779895015818396,-0.186588689940673,0.7156427577449769,12.0,6.028542199402587,6.21513088934326,3.1611542892318263,2.4455115314868494
50.0,1.0,2.7421340482585177,-0.6497527598901582,1.1987412374997701,12.0,6.140989866451207,6.790742626341365,4.1697543250214055,2.9710130875216354
50.0,1.0,2.154682722430953,0.6856125644095235,-0.5759838607617604,12.0,6.902204096100392,6.216591531690868,3.6732161882505547,4.249200049012315
50.0,1.0,1.03828854264281,0.12220836424801451,-0.022341225415551058,12.0,3.397399362699497,3.2751909984514826,3.519603696424039,3.54194492183959
